link,edition,track,location,hashtag,date,session,day,hour,categories
https://ona12.journalists.org/sessions/the-business-of-collaboration/,2012,General Session,Seacliff A-D,#ONA12collab,Friday - 10:15 am,The Business of Collaboration,Friday,10:15:00,collaboration
https://ona2010.sched.com/event/2WyF/plugging-in-to-networked-journalism,2010,Half-Day,Grand Ballroom South,#netj,"Thursday October 28, 2010  2:00pm -  5:00pm",Plugging in to Networked Journalism          FILLING,Thursday,"NA",collaboration
https://ona16.journalists.org/sessions/unconference1/,2016,Newsgathering Tools + Techniques Track,Mineral Rooms D+E,#ONAuncon,Saturday - 11:30 AM - 12:30 PM,[Unconference] Session 1 Collaboration is a Messy Necessity,Saturday,"NA",collaboration
https://ona13.journalists.org/sessions/collaboration-roi/,2013,Duo,International 6,#collaborationroi,Friday - 10:30 AM - 11:30 AM,Collaboration ROI: Who Do You Trust?,Friday,"NA",collaboration
https://ona17.journalists.org/sessions/techintheclassroom/,2017,Teaching + Training Track,Washington 2,#ONA17teachtech,Saturday – 11:30 AM – 12:30 PM,Playful Tech in the J-School Classroom,Saturday,"NA",college
NA,2008,Teaching & Learning,Statler Room,NA,NA,Putting Universities To Work:,NA,"NA",college
https://ona16.journalists.org/sessions/tabletalkseducators/,2016,Educators + students Track,Centennial Ballroom B,#ona16,Friday - 10:00 AM - 12:00 PM,Table Talks: Educators + Students,Friday,"NA",college
https://ona2010.sched.com/event/2ehL/academic-meetup,2010,General Session,Room 14,#academic,"Saturday October 30, 2010  4:30pm -  5:30pm",Academic Meetup,Saturday,"NA",college
NA,2008,Teaching & Learning,Statler Room,NA,NA,Sharing the Research,NA,"NA",college
https://ona14.journalists.org/sessions/midway-friday-16/,2014,NA,Sheraton Ballroom IV,#ona14mw,Friday - 2:30 PM - 3:30 PM,Hack the Mold with CUNY,Friday,"NA",college
https://ona14.journalists.org/sessions/midway-friday-9/,2014,NA,Sheraton Ballroom IV,#ona14mw,Friday - 2:00 PM - 4:00 PM,USC Media Impact Project Office Hours,Friday,"NA",college
https://ona14.journalists.org/sessions/midway-thursday-20/,2014,NA,Sheraton Ballroom IV,#ona14mw,Thursday - 2:00 PM - 4:00 PM,USC Media Impact Project Office Hours,Thursday,"NA",college
NA,2008,Teaching & Learning,Statler Room,NA,NA,So You Want To Teach? Ha!,NA,"NA",college
https://ona15.journalists.org/sessions/tabletalksteaching/,2015,Teaching + Training Track,Beverly Hills Room,#ONA15edu,Friday - 10:30 AM - 12:30 PM,Table Talks: Teaching + Training,Friday,"NA",college
https://ona17.journalists.org/sessions/educatorsmeetup/,2017,Teaching + Training Track,Washington 5,#ONAedu,Friday – 3:30 PM – 5:00 PM,Educators Meetup: Disrupt J-Ed and More,Friday,"NA",college
http://journalist.org/2006conference/archives/000588.php#college,2006,NA,NA,NA,NA,Educators summit,NA,"NA",college
https://ona14.journalists.org/sessions/midway-saturday-2/,2014,NA,Sheraton Ballroom IV,#ona14mw,Saturday - 2:00 PM - 4:00 PM,USC Media Impact Project Office Hours,Saturday,"NA",college
https://ona17.journalists.org/sessions/tabletalkseducatorsstudents/,2017,Teaching + Training Track,Maryland A+B,#ONA17,Friday – 10:00 AM – 12:00 PM,Table Talks: Teaching + Training,Friday,"NA",college
